c_1_11_841	0	[-356.7548, -362.5417, -454.37384, -1116.7002, -1710.085]
c_1_11_843	0	[-215.03683, -290.80286, -229.92346, -543.65344, -860.6316]
c_1_11_845	0	[-264.70245, -284.95273, -310.54657, -794.0107, -1238.4313]
c_1_11_852	2	[-190.10695, -273.0198, -160.68828, -350.25732, -537.2791]
c_1_11_853	2	[-178.35143, -275.0106, -151.63113, -307.44174, -502.48734]
c_1_11_858	1	[-525.7451, -406.469, -712.0001, -1835.6682, -2781.53]
c_1_11_859	3	[-125.88503, -255.17572, -57.541676, -39.785843, -58.288113]
c_1_11_86	1	[-609.10345, -455.0546, -899.38617, -2288.3818, -3522.2883]
c_1_11_860	0	[-254.91214, -307.3032, -256.45728, -632.465, -987.55115]
c_1_11_863	2	[-180.51442, -274.2853, -164.3923, -343.82983, -544.65674]
c_1_11_87	2	[-138.7104, -264.20374, -74.385635, -79.518074, -133.7614]
c_1_11_873	0	[-190.93788, -278.53967, -191.83003, -436.16232, -674.2858]
c_1_11_877	1	[-446.97504, -371.41647, -657.2739, -1723.2405, -2633.5935]
c_1_11_88	2	[-167.65918, -278.59802, -134.00746, -223.64178, -344.0145]
c_1_11_887	2	[-192.14798, -275.10605, -165.18309, -361.2334, -562.97125]
c_1_11_889	0	[-232.73235, -285.7679, -248.38522, -587.9105, -922.5496]
c_1_11_890	2	[-187.78246, -287.33084, -167.60687, -319.66644, -482.60333]
c_1_11_891	2	[-159.16267, -253.90903, -143.0439, -313.67355, -469.34555]
c_1_11_892	2	[-181.18794, -266.56985, -158.61496, -349.7379, -546.0368]
c_1_11_893	2	[-155.64069, -271.04257, -100.154785, -184.4275, -293.11957]
c_1_11_894	3	[-129.98024, -256.75967, -64.11978, -52.376484, -76.70877]
